name,core_count,thread_count,base_clock,boost_clock,tdp,l1_cache,l2_cache,l3_cache,socket,memory_support,integrated_gpu
Intel Core i9-14900K,24,32,3.2,6,125,1920,48,36,Intel Socket 1700,"DDR4, DDR5",UHD Graphics 770
Intel Core i9-14900KF,24,32,3.2,6,125,1920,48,36,Intel Socket 1700,"DDR4, DDR5",
Intel Core Ultra 5 225,,,,,,,,,,,
Intel Core Ultra 5 225F,10,10,3.3,4.9,65,1920,30,20,Intel Socket 1851,DDR5,
Intel Core Ultra 5 235,,,,,,,,,,,
Intel Core Ultra 5 245,,,,,,,,,,,
Intel Core Ultra 5 245K,14,14,4.2,5.2,125,2688,42,24,Intel Socket 1851,DDR5,Arc Xe-LPG Graphics 64EU
Intel Core Ultra 5 245KF,14,14,4.2,5.2,125,2688,42,24,Intel Socket 1851,DDR5,
Intel Core Ultra 7 265,,,,,,,,,,,
Intel Core Ultra 7 265K,20,20,3.9,5.5,125,3840,60,30,Intel Socket 1851,DDR5,Arc Xe-LPG Graphics 64EU
Intel Core Ultra 7 265KF,20,20,3.9,5.5,125,3840,60,30,Intel Socket 1851,DDR5,
Intel Core Ultra 9 285,,,,,,,,,,,
Intel Core Ultra 9 285K,24,24,3.7,5.7,125,4608,72,36,Intel Socket 1851,DDR5,Arc Xe-LPG Graphics 64EU
,,,,,,,,,,,
Intel Core 3 100U,,,,,,,,,,,
Intel Core i3-1000NG4,,,,,,,,,,,
Intel Core i3-1005G1,,,,,,,,,,,
Intel Core i3-10110U,,,,,,,,,,,
Intel Core i3-1110G4,,,,,,,,,,,
Intel Core i3-1115G4,,,,,,,,,,,
Intel Core i3-1115G4,,,,,,,,,,,
Intel Core i3-1215U,,,,,,,,,,,
Intel Core i3-1220P,,,,,,,,,,,
Intel Core i3-1305U,,,,,,,,,,,
Intel Core i3-1315U,,,,,,,,,,,
Intel Core i3-2100,,,,,,,,,,,
Intel Core i3-2310M,,,,,,,,,,,
Intel Core i3-4005U,,,,,,,,,,,
Intel Core i3-4130,,,,,,,,,,,
Intel Core i3-4150,,,,,,,,,,,
Intel Core i3-550,,,,,,,,,,,
Intel Core i3-6100,,,,,,,,,,,
Intel Core i3-6006U,,,,,,,,,,,
Intel Core i3-7020U,,,,,,,,,,,
Intel Core i3-7100,,,,,,,,,,,
Intel Core i3-7100U,,,,,,,,,,,
Intel Core i3-8100,,,,,,,,,,,
Intel Core i3-8109U,,,,,,,,,,,
Intel Core i3-8145U,,,,,,,,,,,
Intel Core i3-9100T,,,,,,,,,,,
Intel Core i3-N300,,,,,,,,,,,
Intel Core i3-N305,,,,,,,,,,,
Intel Core i5-10210U,,,,,,,,,,,
Intel Core i5-10300H,,,,,,,,,,,
Intel Core i5-1030NG7,,,,,,,,,,,
Intel Core i5-1035G1,,,,,,,,,,,
Intel Core i5-1035G7,,,,,,,,,,,
Intel Core i5-11300H,,,,,,,,,,,
Intel Core i5-11320H,,,,,,,,,,,
Intel Core i5-1135G7,,,,,,,,,,,
Intel Core i5-1145G7,,,,,,,,,,,
Intel Core i5-1155G7,,,,,,,,,,,
Intel Core i5-1215U,,,,,,,,,,,
Intel Core i5-1235U,,,,,,,,,,,
Intel Core i5-1240P,,,,,,,,,,,
Intel Core i5-12450H,,,,,,,,,,,
Intel Core i5-1250P,,,,,,,,,,,
Intel Core i5-12600H,,,,,,,,,,,
Intel Core i5-12600HX,,,,,,,,,,,
Intel Core i5-1334U,,,,,,,,,,,
Intel Core i5-1335U,,,,,,,,,,,
Intel Core i5-1335U,,,,,,,,,,,
Intel Core i5-1340P,,,,,,,,,,,
Intel Core i5-13420H,,,,,,,,,,,
Intel Core i5-13450HX,,,,,,,,,,,
Intel Core i5-14450HX,,,,,,,,,,,
Intel Core i5-2400,,,,,,,,,,,
Intel Core i5-3470,,,,,,,,,,,
Intel Core i5-4210U,,,,,,,,,,,
Intel Core i5-4430,,,,,,,,,,,
Intel Core i5-6200U,,,,,,,,,,,
Intel Core i5-6400,,,,,,,,,,,
Intel Core i5-6600,,,,,,,,,,,
Intel Core i5-7200U,,,,,,,,,,,
Intel Core i5-7400,,,,,,,,,,,
Intel Core i5-7500,,,,,,,,,,,
Intel Core i5-8250U,,,,,,,,,,,
Intel Core i5-8257U,,,,,,,,,,,
Intel Core i5-8400,,,,,,,,,,,
Intel Core i5-8400T,,,,,,,,,,,
Intel Core i5-8500,,,,,,,,,,,
Intel Core i7-10510U,,,,,,,,,,,
Intel Core i7-1060NG7,,,,,,,,,,,
Intel Core i7-1065G7,,,,,,,,,,,
Intel Core i7-10750H,,,,,,,,,,,
Intel Core i7-11370H,,,,,,,,,,,
Intel Core i7-1165G7,,,,,,,,,,,
Intel Core i7-11800H,,,,,,,,,,,
Intel Core i7-1185G7,,,,,,,,,,,
Intel Core i7-1250U,,,,,,,,,,,
Intel Core i7-1255U,,,,,,,,,,,
Intel Core i7-1260P,,,,,,,,,,,
Intel Core i7-12650H,,,,,,,,,,,
Intel Core i7-1265U,,,,,,,,,,,
Intel Core i7-1270P,,,,,,,,,,,
Intel Core i7-1280P,,,,,,,,,,,
Intel Core i7-1355U,,,,,,,,,,,
Intel Core i7-1360P,,,,,,,,,,,
Intel Core i7-13620H,,,,,,,,,,,
Intel Core i7-13650HX,,,,,,,,,,,
Intel Core i7-1365U,,,,,,,,,,,
Intel Core i7-14650HX,,,,,,,,,,,
Intel Core i7-4510U,,,,,,,,,,,
Intel Core i7-4720HQ,,,,,,,,,,,
Intel Core i7-7600U,,,,,,,,,,,
Intel Core i7-7700,,,,,,,,,,,
Intel Core i7-8400,,,,,,,,,,,
Intel Core i7-8550U,,,,,,,,,,,
Intel Core i7-8565U,,,,,,,,,,,
Intel Core i7-8700,,,,,,,,,,,
Intel Core i7‑8750H,,,,,,,,,,,
Intel Core i9-12900H,,,,,,,,,,,
Intel Core i9-13900H,,,,,,,,,,,
Intel Core 5 120U,,,,,,,,,,,
Intel Core 5 210H,,,,,,,,,,,
Intel Core 7 150U,,,,,,,,,,,
Intel Core 7 240H,,,,,,,,,,,
Intel Core 9 270H,,,,,,,,,,,
Intel Core Ultra 5 125H,,,,,,,,,,,
Intel Core Ultra 5 125U,,,,,,,,,,,
Intel Core Ultra 5 135U,,,,,,,,,,,
Intel Core Ultra 5 225U,,,,,,,,,,,
Intel Core Ultra 5 226V,,,,,,,,,,,
Intel Core Ultra 5 235U,,,,,,,,,,,
